Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
AAW39385.1	2.4.1.217	GT55(6-385)	GT55_e0	GT55	N	3
AAW43837.2	-	GH128(44-291)	GH128_e28	GH128	N	3
AAW51007.1	3.2.1.132	GH80(29-91)	GH80_e0	GH80	N	3
AAW51009.1	3.2.1.132	GH80(2-64)	GH80_e0	GH80	N	3
AAW51012.1	3.2.1.132	GH80(2-64)	GH80_e0	GH80	N	3
AAW51015.1	3.2.1.132	GH80(107-169)	GH80_e0	GH80	Y(1-38)	3
AAW84055.1	4.2.2.2	PL10(112-380)	PL10_e8	PL10	Y(1-19)	3
AAZ58723.1	-	GT41(403-907)	GT41_e72	GT41	N	3
AAZ67345.1	3.2.1.18	GH83(29-580)	GH83_e0	GH83	N	3
AAZ89568.1	4.2.2.n1	GH102(150-257)	GH102_e2	GH102	Y(1-20)	3
ABB37231.1	-	GT74(2-273)+GT2(289-429)	GT74_e0+GT2	GT2+GT74	N	3
ABC13791.1	3.2.1.78	GH5_8(45-289)+CBM59(347-463)	GH5_e182+CBM59_e0	CBM59+GH5_8	Y(1-33)	3
ABC59310.1	2.4.1.40|2.4.1.37|2.4.1.88	GT6(1-227)	GT6_e1	GT6	N	3
ABC59328.1	-	CBM55(361-406)	CBM55_e1	CBM55	N	3
ABD82527.1	4.2.2.11|4.2.2.-|4.2.2.3|-	CBM16(23-120)+CBM32(171-290)+PL18(351-536)	CBM16_e1+CBM32_e106+PL18_e0	CBM16+CBM32+PL18	Y(1-22)	3
ABE21468.1	2.4.1.21	CBM53(346-429)+CBM53(521-610)+CBM53(683-770)+GT5(781-1224)	CBM53_e0+CBM53_e0+CBM53_e0+GT5_e38	CBM53+GT5	N	3
ABG59304.1	3.1.1.72|3.1.1.73|-	CE6(92-203)+GH43_10(289-555)+CBM91(579-771)+CBM9(888-1070)+CBM88(1160-1245)	CE6_e2+GH43_e101+CBM91_e51+CBM9_e7+CBM88_e0+CBM88_e0+CBM88_e0+CBM88_e0	CBM88+CBM9+CE6+GH43_10	Y(1-25)	3
ABH71811.1	3.2.1.4	GH5_2(71-338)+CBM17(371-571)+CBM28(588-760)	GH5_e90+CBM17_e0+CBM17_e0	CBM17+CBM28+GH5_2	Y(1-30)	3
ABH87699.1	3.2.1.35	GH56(4-329)	GH56_e5	GH56	N	3
ABI05850.1	2.4.1.102	GT14(133-393)	GT14_e62	GT14	N	3
ABJ19333.1	2.4.1.133	GT7(82-301)	GT7_e3	GT7	N	3
ABJ85355.1	-	CBM22(26-158)+CBM22(191-316)+GH10(351-668)	CBM22_e27+CBM22_e27+GH10_e132	CBM22+CBM9+GH10	Y(1-22)	3
ABK21236.1	2.4.1.-|5.4.99.30	GT75(9-345)	GT75_e1	GT75	N	3
ABK48928.1	3.2.1.49|3.2.1.52	GH109(49-448)	GH109_e0	GH109	Y(1-39)	3
ABN51673.1	3.2.1.4	GH124(2-334)	GH124_e0	GH124	N	3
ABO49929.1	-	GT74(12-281)	GT74_e0	GT74	N	3
ABO68076.1	3.2.1.41	CBM68(6-99)+GH13_14(262-573)	CBM68_e0+CBM48_e46+GH13_e94	CBM48+CBM68+GH13_14	N	3
ABO97149.1	-	GT95(126-413)	GT95_e1	GT95	N	3
ABR32473.1	2.4.1.1	GT35(80-753)	GT35_e0	GT35	N	3
ABR44654.1	3.2.1.18	CBM93(20-169)+GH33(189-526)	GH33_e121	GH33	Y(1-20)	3
ABU76552.1	-	GT41(518-1104)	GT41_e14	GT41	N	3
ABW90212.1	3.2.1.17	GH22(94-170)	GH22_e28+GH22_e28	GH22	N	3
ABX06968.1	-	GH13_39(465-795)	CBM34_e12+CBM34_e12+GH13_e175	CBM34+GH13	Y(1-28)	3
ABX41316.1	4.2.2.1	PL30(4-699)	PL30_e0	PL30	N	3
ABX41884.1	-	CBM86(49-155)+GH10(180-513)	GH10_e119	CBM86+GH10	Y(1-34)	3
ABX94001.1	2.4.1.41	GT27(194-492)	GT27_e0+CBM13_e1	CBM13+GT27	N	3
ABY59164.1	2.4.1.-	GT14(2-112)	GT14_e10	GT14	N	3
ACB73617.1	3.1.1.73|3.2.1.55|3.2.1.8	GH62(27-309)	GH62_e3	GH62	N	3
ACF88074.1	2.4.1.101	GT13(22-437)	GT13_e2	GT13	N	3
ACI32821.1	-	CBM39(19-111)+GH16_4(200-505)	CBM39_e10+GH16_e257	CBM39+GH16_4	N	3
ACJ61883.1	3.2.1.14	GH19(76-276)	GH19_e81	CBM18+GH19	Y(1-26)	3
ACJ76896.1	3.2.1.18	CBM40(124-309)+GH33(328-784)	CBM40_e0+GH33_e105	CBM40+GH33	Y(1-54)	3
ACL74812.1	3.2.1.151|3.2.1.4|3.2.1.78|3.2.1.8	GH44(36-542)+CBM44(712-861)	GH44_e1+CBM44_e0	CBM44+GH44	Y(1-33)	3
ACL75131.1	3.2.1.4|3.2.1.-	GH9(40-511)	GH9_e17+CBM3_e1	CBM3+GH9	Y(1-35)	3
ACL81761.1	3.2.1.17	GH22(19-145)	GH22_e9	N	Y(1-23)	2
ACM81328.1	3.2.1.-	GH56(41-373)	GH56_e4	GH56	N	3
ACP54301.1	-	GT115(4-252)	GT115_e0	GT115	N	3
ACR74843.1	3.2.1.1|3.2.1.41|3.2.1.68	CBM82(49-177)+CBM83(482-578)+GH13_41(841-1150)	GH13_e61	CBM82+CBM83+GH13_41	Y(1-43)	3
ACS33319.1	2.4.1.217	GT55(4-379)	GT55_e1	GT55	N	3
ACT46150.1	3.2.1.176|3.2.1.4|3.2.1.-|3.2.1.151|3.2.1.14	GH48(1-389)	GH48_e1	GH48	N	3
ACU08216.1	-	GH163(198-446)	GH163_e12	GH163	Y(1-20)	3
ACU30172.1	-	CBM39(23-107)+GH16_4(169-386)	CBM39_e0+GH16_e3	CBM39+GH16_4	N	3
ACU38505.1	-	CE2(148-327)	CE2_e3	CE2	Y(1-32)	3
ACU92564.1	-	GH164(1-667)	GH164_e0	GH164	Y(1-24)	3
ACV46756.1	-	GH179(17-370)	GH109_e5	GH179	N	3
ACW28768.1	2.4.1.-	GT13(296-604)	GT13_e0	GT13	N	3
ACX75122.1	3.2.1.4	CBM30(96-246)	CBM30_e1	CBM30	Y(1-36)	3
ACX75366.1	3.2.1.22|3.2.1.8|3.1.1.72|3.2.1.55|2.4.1.-	GH27(142-376)+CBM6(427-560)	GH27_e14+CBM6_e18	CBM6+GH27	Y(1-30)	3
ACY48110.1	2.4.1.217	GT78(1-121)	GT78_e0	GT78	N	3
ACZ90132.1	-	PL8(344-588)	PL8_e27	PL8	N	3
ACZ98629.1	3.2.1.78|3.2.1.151|3.2.1.4	CBM35(2-88)	CBM35_e4	N	N	2
ADA57113.1	-	GT109(3-314)	GT109_e2	GT109	N	3
ADB23440.1	3.2.1.8	CBM22(38-172)+CBM22(195-325)+GH10(359-673)+CBM9(694-852)+CBM9(868-1041)	CBM22_e15+CBM22_e15+GH10_e60+CBM9_e0+CBM9_e0	CBM22+CBM9+GH10	Y(1-33)	3
ADE53635.1	-	GH86(24-638)	GH86_e13	GH86	Y(1-26)	3
ADE54274.1	N	CBM92(24-95)+CBM92(80-154)+GH118(129-549)	N	GH118	Y(1-22)	2
ADE83418.1	3.2.1.4|3.2.1.-|3.2.1.8	GH5_4(68-366)	GH5_e141	CBM72+GH5_4	Y(1-23)	3
ADF28799.1	2.4.1.143	GT16(58-202)	GT16_e1	GT16	N	3
ADG78942.1	2.4.1.-	GT1(9-390)	GT1_e302	GT1	N	3
ADI03480.1	3.2.1.-	CBM46(127-213)	CBM46_e0	CBM46+GH5_4	N	3
ADI68893.1	3.2.1.97|3.2.1.35|3.2.1.52	GH101(336-1044)	GH101_e0+CBM32_e206	CBM32+GH101	Y(1-39)	3
ADL25486.1	3.2.1.4	CBM30(96-246)	CBM30_e1	CBM30	Y(1-36)	3
ADL32778.1	3.2.1.8	CBM86(116-216)+CBM86(253-349)+GH10(381-737)+CBM9(888-1061)	GH10_e78+CBM9_e20	CBM86+CBM9+GH10	Y(1-32)	3
ADL33827.1	3.2.1.1	GH13_28(156-453)+CBM26(708-776)+CBM26(822-891)+CBM26(928-1009)	GH13_e42+CBM26_e0+CBM26_e0	CBM26+GH13_28	Y(1-34)	3
ADL43373.1	4.2.2.23|4.2.2.24|-	PL11(375-637)	CBM66_e3+PL11_e0	CBM66+PL0	N	3
ADL50675.1	3.2.1.4	GH5_2(64-322)+CBM17(356-556)+CBM28(565-751)	GH5_e90+CBM17_e0+CBM17_e0	CBM17+CBM28+GH5_2	Y(1-28)	3
ADM76201.1	3.2.1.14	GH19_2(1-153)	GH19_e1	N	N	2
ADM77949.1	-	GH152(28-223)	GH152_e0	GH152	N	3
ADN17291.1	3.2.1.26	GH100(12-454)	GH100_e2	GH100	N	3
ADO68763.1	3.2.1.2|3.2.1.1|-	GH119(3-890)	GH119_e0+CBM25_e6+CBM25_e6+CBM20_e28	CBM20+CBM25+GH119	Y(1-25)	3
ADQ08079.1	-	CBM35(179-301)+GH87(305-822)	GH87_e7	CBM32+CBM35+GH87	Y(1-32)	3
ADQ41743.1	3.2.1.73|3.2.1.6	SLH(21-57)+SLH(75-113)+SLH(134-176)+CBM54(179-292)	CBM54_e1	CBM54	Y(1-20)	3
ADQ46860.1	3.2.1.41|3.2.1.1|3.2.1.68|3.2.1.-|-	CBM41(37-135)+GH13_14(536-848)	CBM41_e6+CBM48_e14+GH13_e130+CBM20_e33	CBM20+CBM41+CBM48+GH13_14	N	3
ADU21299.1	3.2.1.4|3.2.1.91|3.2.1.-|3.2.1.8|3.2.1.73|3.1.1.72|3.2.1.151	CBM4(37-173)+GH9(370-896)+CBM37(919-981)	CBM4_e0+GH9_e1+CBM37_e0	CBM37+CBM4+GH9	Y(1-33)	3
ADU21424.1	-	CBM37(411-470)+CBM37(503-566)	CBM37_e2+CBM37_e2	CBM37	Y(1-30)	3
ADU21434.1	3.2.1.8|3.2.1.73|3.1.1.72|3.1.1.73|3.2.1.55|3.2.1.151	GH11(50-245)+CBM22(271-396)+CBM37(435-498)+CE4(573-689)	GH11_e5+CBM22_e20+CBM37_e0+CE4_e273	CBM22+CBM37+CE4+GH11	Y(1-32)	3
ADU21575.1	3.2.1.4|3.2.1.8|3.2.1.78|3.1.1.72|3.2.1.151|3.2.1.73|3.2.1.74	GH5_1(56-413)+CBM37(506-566)+CBM37(599-662)	GH5_e276+CBM37_e0+CBM37_e0	CBM37+GH5_1	Y(1-37)	3
ADU28720.1	3.2.1.4|3.2.1.78|3.2.1.132	GH5_2(47-285)	GH5_e251+CBM5_e99+CBM5_e99	CBM5+GH5_2	Y(1-25)	3
ADU74842.1	3.2.1.4	GH124(61-393)	GH124_e0	GH124	N	3
ADW95259.2	3.2.1.-	GH90(2-550)	GH90_e0	GH90	N	3
ADY53122.1	3.1.1.72|3.1.1.73	CE6(90-201)	CE6_e2	CE6	N	3
ADY53699.1	3.2.1.23	GH147(19-813)	GH147_e0	GH147	Y(1-22)	3
ADY54239.1	-	GH117(162-334)	GH117_e13+GH117_e13	GH117	N	3
ADY94748.1	2.4.99.-	GT38(1-467)	GT38_e1	GT38	N	3
ADZ02578.1	2.4.99.-	GT107(28-325)+GT107(281-676)	GT107_e0+GT107_e0	GT107	N	3
ADZ83488.1	3.2.1.4|3.2.1.-|3.2.1.8	CBM65(206-324)+GH5_4(539-807)+CBM65(853-969)+CBM2(981-1070)+CBM2(1086-1174)	CBM65_e1+GH5_e196+CBM65_e1+CBM2_e36+CBM2_e36	CBM2+CBM65+GH5_4	Y(1-33)	3
ADZ85049.1	3.2.1.78|3.2.1.25	GH113(8-307)	GH113_e21	GH113	N	3
AEA08784.1	-	PL3_3(5-155)	PL3_e19	N	N	2
AEA60801.1	-	GH54(63-506)	GH54_e1	GH54	Y(1-20)	3
AEA85004.1	3.2.1.41|3.2.1.1|3.2.1.68	CBM41(38-140)+GH13_13(433-850)	CBM41_e2+CBM48_e30+GH13_e108	CBM41+CBM48+GH13_13	Y(1-29)	3
AEB08292.1	-	GH13_3(22-240)	GH13_e208	GH13	N	3
AEB09197.1	-	GH51_1(186-618)	GH51_e38	GH51	Y(1-30)	3
AEB81651.1	4.2.2.1	CBM70(105-263)+PL8_1(722-975)	CBM70_e0+PL8_e2	CBM70+PL8_1	Y(1-37)	3
AEC08854.1	2.4.1.-	CBM95(108-221)+GT92(232-462)	GT92_e0	GT92	N	3
AEC10607.1	-	GT90(191-439)	GT90_e2	GT90	N	3
AED94844.1	N	GT116(206-449)	N	GT0	N	2
AEE17337.1	3.2.1.78	GH5_7(77-391)+CBM27(554-722)	GH5_e4+CBM27_e2	CBM27+GH5_7	Y(1-32)	3
AEE29105.2	2.4.1.-	GT37(53-506)	GT37_e4	GT37	N	3
AEE36249.1	-	CBM43(310-391)	CBM43_e23	N	N	2
AEE51427.1	-	PL35(392-567)	PL35_e0	PL35	N	3
AEE96308.1	3.2.1.176|3.2.1.4|3.2.1.-|3.2.1.151|3.2.1.14|3.2.1.8	GH48(43-663)+CBM64(783-866)	GH48_e1+CBM64_e0	CBM64+GH48	Y(1-33)	3
AEF26984.1	-	PL27(70-697)	PL27_e1	PL27	N	3
AEH00521.1	2.4.1.8	GH65(324-704)	GH65_e0	GH65	N	3
AEH43898.1	-	GH57(5-455)	GH57_e7	GH57	N	3
AEI08821.1	-	GT87(72-303)	GT87_e31	GT87	N	3
AEI59387.1	2.4.1.-	GH72(19-324)+CBM43(374-459)	GH72_e1+CBM43_e30	CBM43+GH72	Y(1-24)	3
AEJ18256.1	3.2.1.-|3.2.1.68|3.2.1.41|-	GH133(340-707)+GH13_14(1113-1446)	GH133_e4+CBM48_e90+GH13_e95	CBM48+GH13_14+GH133	N	3
AEL97579.1	2.4.1.21	CBM53(710-791)+CBM53(884-974)+CBM53(1048-1135)+GT5(1146-1588)	CBM53_e0+CBM53_e0+CBM53_e0+GT5_e38	CBM53+GT5	N	3
AEM21779.1	-	GT5(2-492)	GT5_e35	GT5	N	3
AEM25719.1	3.2.1.176|3.2.1.132|3.2.1.4	GH7(1-170)	GH7_e0	N	N	2
AEM27306.1	3.2.1.176|3.2.1.132|3.2.1.4	GH7(1-168)	GH7_e0	N	N	2
AEM30179.1	3.2.1.176|3.2.1.132|3.2.1.4	GH7(1-167)	GH7_e0	N	N	2
AEM33738.1	3.2.1.176|3.2.1.132|3.2.1.4	GH7(1-166)	GH7_e0	N	N	2
AEM34541.1	3.2.1.176|3.2.1.132|3.2.1.4	GH7(1-171)	GH7_e0	N	N	2
AEN73191.1	2.4.1.217	GT78(1-121)	GT78_e0	GT78	N	3
AEO28545.1	-	GT90(4-155)	GT90_e0	N	N	2
AEO28742.1	-	GT69(53-184)	GT69_e2	N	N	2
AEO67281.1	1.1.3.38	AA4(52-584)	AA4_e0	AA4	N	3
AEP24462.1	-	GT109(4-159)	GT109_e0	N	N	2
AEP24464.1	-	GT109(4-159)	GT109_e0	N	N	2
AEP24473.1	-	GT109(4-159)	GT109_e0	N	N	2
AEP31312.1	-	GH149(18-1151)	GH149_e1	GH149	N	3
AEP68489.1	2.4.1.15	GT20(13-481)	GT20_e0	GT20	N	3
AET38949.1	2.4.1.142	GT33(38-439)	GT33_e0	GT33	N	3
AET41549.1	2.4.1.-	GT50(126-382)	GT50_e0	GT50	N	3
AET54131.1	-	GH105(60-376)	GH105_e57	GH105	N	3
AET83413.1	4.2.2.2	PL1_1(1-71)	PL1_e75	N	N	2
AET83444.1	4.2.2.2	PL1_1(1-71)	PL1_e75	N	N	2
AEV18362.1	3.2.1.89	CBM61(33-184)+GH53(216-579)+CBM61(667-810)	CBM61_e15+GH53_e14+CBM61_e15	CBM61+GH53	Y(1-30)	3
AEV39791.1	3.2.1.51	GH151(33-173)	GH151_e0	GH151	N	3
AEV59725.1	3.2.1.4|3.2.1.-	GH5_4(163-451)+CBM78(510-625)	GH5_e215	CBM78+GH5_4	Y(1-34)	3
AEV89930.1	3.2.1.157	GH82(63-245)	GH82_e0	GH82	Y(1-35)	3
AEV98432.1	3.1.1.-	CE15(39-424)	CE15_e19	CE15	Y(1-24)	3
AEW00072.1	-	PL21(525-591)	PL21_e0	PL21	Y(1-43)	3
AEY65654.1	3.2.1.151|3.2.1.4|3.2.1.78|3.2.1.8	GH44(35-542)+CBM44(712-861)	GH44_e1+CBM44_e0	CBM44+GH44	Y(1-35)	3
AFA41491.1	-	PL4_2(117-533)	PL4_e7	PL4	N	3
AFC29062.1	2.4.1.-|3.2.1.7|3.2.1.39	GH32(290-602)+CBM38(862-1002)+CBM38(1123-1254)	GH32_e89+CBM56_e2+CBM38_e1+CBM38_e1	CBM38+GH32	Y(1-30)	3
AFE04485.1	-	PL10_3(126-385)	PL10_e12	PL10	Y(1-18)	3
AFH31754.1	2.4.1.221	GT65(35-373)	GT65_e0	GT65	N	3
AFH60867.1	3.2.1.151|3.2.1.4	CBM30(67-198)+CBM30(338-479)+CBM30(609-756)	CBM30_e0+CBM30_e0+CBM30_e0	CBM30	Y(1-39)	3
AFJ18721.1	-	GH30(35-483)	GH30_e52	GH30	N	3
AFK65359.1	2.4.1.-|3.2.1.7|3.2.1.39	GH32(290-602)+CBM38(862-1002)+CBM38(1123-1254)	GH32_e89+CBM56_e2+CBM38_e1+CBM38_e1	CBM38+GH32	Y(1-30)	3
AFK72504.1	3.2.1.4	GH148(272-434)	GH148_e0+GH148_e0	GH148	Y(1-30)	3
AFL66512.1	3.2.1.20	GH122(5-338)	GH122_e1	GH122	N	3
AFN57700.1	3.2.1.4|3.2.1.-|3.2.1.8|3.2.1.73|3.2.1.78	GH5_4(57-345)+CBM72(385-515)+CBM72(525-648)	GH5_e141+CBM72_e1+CBM72_e1	CBM72+GH5_4	Y(1-22)	3
AFO80835.1	3.2.1.78|-	CE3(33-229)+GH5_8(252-502)+CBM2(650-752)	CE3_e26+GH5_e22+CBM2_e104	CBM2+CE3+GH5_8	Y(1-29)	3
AFP86562.1	2.4.1.312	GT61(6-125)	GT61_e0	GT61	N	3
AFS15766.1	-	GH57(13-412)	GH57_e20	GH57	N	3
AFV05131.1	-	PL9_2(57-381)	PL9_e15	GH160	Y(1-33)	3
AFX00030.1	3.2.1.81	GH118(3-476)	GH118_e0	GH118	Y(1-39)	3
AFY06834.1	1.11.1.16|1.11.1.13|1.11.1.-	AA2(1-133)	AA2_e2	N	N	2
AFZ04048.1	-	GH102(179-318)	GH102_e17	GH102	Y(1-26)	3
AFZ39272.1	-	GT69(54-185)	GT69_e2	GT69	N	3
AGB92638.1	-	GT49(241-472)	GT49_e6	GT49	N	3
AGC94751.1	3.2.1.4|3.2.1.73|3.2.1.8	GH9(2-384)+CBM49(427-504)	GH9_e16+CBM49_e0	CBM49+GH9	N	3
AGE50702.1	-	GT114(144-215)	GT114_e1	GT114	N	3
AGE51038.1	-	GT114(144-215)	GT114_e1	GT114	N	3
AGE53884.1	-	PL14(33-250)	PL14_e5	PL14	N	3
AGE87172.1	-	GT60(7-319)	GT60_e2	GT60	N	3
AGG91507.1	2.4.1.-	GT44(111-204)+GT44(210-298)	GT44_e0	GT44	N	3
AGI87032.1	3.2.1.132	GH46(33-253)	GH46_e9	GH46	Y(1-27)	3
AGK80319.1	3.2.1.97	GH101(53-588)+CBM51(1148-1286)	GH101_e1+CBM51_e50	CBM51+GH101	Y(1-31)	3
AGN27451.1	-	GH48(1-378)	GH48_e0	GH48	N	3
AGN32995.1	-	GH33(51-379)	GH33_e73	GH33	Y(1-28)	3
AGP59730.1	-	GH88(74-393)	GH88_e9	GH88	Y(1-29)	3
AGQ56239.1	2.4.1.-	GT54(1-183)+CBM94(192-249)	GT54_e1	GT54	N	3
AGS29295.1	-	GH33(10-343)	GH33_e31	GH33	N	3
AGW88770.1	3.2.1.39	GH128(34-265)	GH128_e0	GH128	N	3
AGY39009.1	3.2.1.23|3.2.1.108	GH2(106-861)+CBM71(1444-1640)+CBM71(1797-1994)	GH2_e0+CBM71_e0+CBM71_e0	CBM71+GH2	Y(1-39)	3
AHA42547.2	3.2.1.4|3.2.1.91	GH5_2(22-259)+CBM81(337-427)	GH5_e7+CBM81_e0	CBM81+GH5_2	N	3
AHB33631.1	3.2.1.4|3.2.1.-|3.2.1.8	GH5_4(64-335)	GH5_e141	CBM72+GH5_4	Y(1-22)	3
AHB36297.1	-	GH85(192-399)	GH85_e22	GH85	Y(1-22)	3
AHC13984.1	3.2.1.11|2.4.1.-	GH31(230-676)	GH31_e40	GH31	Y(1-23)	3
AHD17196.1	2.4.1.224|2.4.1.-	GT45(578-682)+GT93(830-1127)	GT45_e4+GT93_e0	GT45+GT93	N	3
AHD21476.1	-	GH88(41-364)	GH88_e1	GH88	N	3
AHF91164.1	-	GH156(3-534)	GH156_e0	GH156	Y(1-24)	3
AHJ23782.1	N	GH176(249-652)	N	GH0	N	2
AHK64082.1	-	GT21(73-305)	GT21_e34	GT21	N	3
AHL38833.1	2.4.1.-	GT47(289-628)	GT47_e11	GT47	N	3
AHL97207.1	3.2.1.18	GH34(1-466)	GH34_e0	GH34	N	3
AHU12458.1	3.2.1.68|2.4.1.25|3.2.1.-	CBM48(11-99)+GH13_11(173-521)	CBM48_e3+GH13_e48	CBM48+GH13_11	N	3
AHU51190.1	2.4.1.-	GT56(1-352)	GT56_e0	GT56	N	3
AHW98783.1	2.4.2.-	GT43(106-336)	GT43_e2	GT43	N	3
AHX16081.1	2.4.1.56|2.4.1.289|2.4.99.-	GT99(5-386)	GT99_e0	GT99	N	3
AHY77279.1	2.4.1.-	GH72(25-330)	GH72_e0	GH72	Y(1-20)	3
AIA85218.1	3.2.1.159	GH117(3-89)	GH117_e12	N	N	2
AIF33075.1	2.4.1.312	GT61(3-111)	GT61_e0	GT61	N	3
AIF70078.1	3.2.1.20	GH122(9-335)	GH122_e1	GH122	N	3
AIF91550.1	3.2.1.8	GH11(51-235)+CBM60(264-368)+CE4(406-524)	GH11_e23+CBM60_e0+CE4_e322+CBM10_e6	CBM10+CBM60+CE4+GH11	Y(1-40)	3
AIF91555.1	3.2.1.4|3.2.1.91|3.2.1.73|3.2.1.-	GH9(126-601)	GH9_e1+CBM10_e3	CBM10+GH9	Y(1-34)	3
AIF91556.1	3.2.1.78|3.2.1.91|3.2.1.4|3.2.1.8	GH5_8(51-299)+GH6(697-1031)	GH5_e22+GH6_e0	CBM10+GH5_8+GH6	Y(1-41)	3
AIH53304.1	2.4.2.-	GT89(4-616)	GT89_e0	GT89	N	3
AIH92371.1	3.2.1.28	GH15(254-619)	GH15_e22	GH15	N	3
AII68263.1	N	GH182(381-616)	N	GH182	Y(1-22)	2
AIL25215.1	-	PL23(45-612)	PL23_e1	PL23	N	3
AIM37202.1	-	GH123(16-549)	GH123_e2	GH123	N	3
AIM39021.1	3.2.1.-	GH115(23-781)	GH115_e4	GH115	Y(1-28)	3
